StandardCode,Version,StandardName,StandardSectorCode,NotionalEndLevel,EffectiveFrom,LastDateStarts,EffectiveTo,URLLink,SectorSubjectAreaTier1,SectorSubjectAreaTier2,IntegratedDegreeStandard,Created_On,Created_By,Modified_On,Modified_By
1,1,Network Engineer,7,4,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-network-engineer,6,6.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
2,1,Software Developer,7,4,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-software-developer,6,6.2,N,09-Jul-15,goodmand,09-Jul-15,goodmand
3,1,Aerospace Manufacturing Fitter,2,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-manufacturing-fitter,4,4.1,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
4,1,Mechatronics Maintenance Technician,3,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-mechatronics-maintenance-technician,4,4.2,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
5,1,Installation Electrician/Maintenance Electrician,19,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-installation-electricianmaintenance-electrician,4,4.1,N,16-Sep-15,fisherk,16-Sep-15,fisherk
6,1,Power Network Craftsperson,8,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-power-network-craftsperson,4,4.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
7,1,Relationship Manager (Banking),9,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-relationship-manager-banking,15,15.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
8,1,Financial Services Administrator,9,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-administrator,15,15.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
9,1,Control /Technical Support Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-controltechnical-support-engineer,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
10,1,Electrical /Electronic Technical Support Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-electricalelectronic-technical-support-engineer,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
11,1,Manufacturing Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-manufacturing-engineer,4,4.2,N,09-Jul-15,goodmand,14-Sep-16,goodmand
12,1,Product Design and Development Engineer,3,6,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-engineer,4,4.2,N,09-Jul-15,goodmand,14-Sep-16,goodmand
13,1,Product Design and Development Technician,3,3,01-Aug-14,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-product-design-and-development-technician,4,4.2,N,09-Jul-15,goodmand,07-Apr-17,robinsonsar
14,1,Laboratory Technician,4,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-technician,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
15,1,Science Manufacturing Technician,4,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-science-manufacturing-technician,4,4.2,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
16,1,Food and Drink Maintenance Engineer,5,3,01-Aug-14,,,https://www.gov.uk/government/publications/apprenticeship-standard-food-and-drink-maintenance-engineer,4,4.1,N,09-Jul-15,goodmand,06-Aug-15,vijaydek
17,1,Actuarial Technician,1,4,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-actuarial-technician,15,15.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
18,1,Dental Technician,6,5,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-dental-technician,1,1.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
19,1,Dental Laboratory Assistant,6,3,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-dental-laboratory-assistant,1,1.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
20,1,Dental Practice Manager,6,4,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-dental-practice-manager,1,1.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
21,1,Golf Greenkeeper,10,2,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-golf-greenkeeper,3,3.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
22,1,Junior Journalist,11,3,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-junior-journalist,9,9.3,N,09-Jul-15,goodmand,09-Jul-15,goodmand
23,1,Property Maintenance Operative,12,2,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-property-maintenance-operative,5,5.2,N,09-Jul-15,goodmand,09-Jul-15,goodmand
24,1,Railway Engineering Design Technician,13,3,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-railway-engineering-design-technician,4,4.1,N,09-Jul-15,goodmand,09-Jul-15,goodmand
25,1,Digital and Technology Solutions Professional,7,6,26-Mar-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-digital-technology-solutions-professional,6,6.1,N,09-Jul-15,goodmand,16-May-16,fisherk
26,1,Dual Fuel Smart Meter Installer,8,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-dual-fuel-smart-meter-installer,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
27,1,Water Process Technician,8,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-water-process-technician,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
28,1,Financial Services Customer Adviser,9,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-financial-services-customer-adviser,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
29,1,Investment Operations Administrator,9,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-administrator,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
30,1,Investment Operations Specialist,9,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-specialist,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
31,1,Senior Financial Services Customer Adviser,9,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-financial-services-customer-adviser,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
32,1,Workplace Pensions (Administrator or Consultant),9,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-workplace-pensions-consultant-or-administrator,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
33,1,Investment Operations Technician,9,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-investment-operations-technician,15,15.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
34,1,Able Seafarer (Deck),14,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-able-seafarer-deck,4,4.3,N,03-Sep-15,fisherk,16-Sep-15,fisherk
35,1,Nuclear Welding Inspection Technician,15,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-welding-inspection-technician,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
36,1,Public Service Operational Delivery Officer,16,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-operational-delivery-officer,1,1.4,N,03-Sep-15,fisherk,16-Sep-15,fisherk
37,1,Aerospace Engineer,2,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-engineer,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
38,1,Aerospace Software Development Engineer,2,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-software-development-engineer,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
39,1,Conveyancing Technician,17,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-conveyancing-technician,15,15.5,N,03-Sep-15,fisherk,16-Sep-15,fisherk
40,1,Licensed Conveyancer,17,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-licensed-conveyancer,15,15.5,N,03-Sep-15,fisherk,16-Sep-15,fisherk
41,1,Chartered Legal Executive,18,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-legal-executive,15,15.5,N,03-Sep-15,fisherk,16-Sep-15,fisherk
42,1,Paralegal,18,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-paralegal,15,15.5,N,03-Sep-15,fisherk,16-Sep-15,fisherk
43,1,Solicitor,18,7,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-solicitor,15,15.5,N,03-Sep-15,fisherk,16-Sep-15,fisherk
44,1,Laboratory Scientist,4,5,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-laboratory-scientist,4,4.2,N,03-Sep-15,fisherk,16-Sep-15,fisherk
45,1,Science Industry Maintenance Technician,4,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-science-industry-maintenance-technician,5,5.2,N,03-Sep-15,fisherk,16-Sep-15,fisherk
46,1,Nuclear Health Physics Monitor,15,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-health-physics-monitor-standard,1,1.2,N,03-Sep-15,fisherk,16-Sep-15,fisherk
47,1,Nuclear Scientist and Nuclear Engineer,15,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-nuclear-scientist-and-nuclear-engineer,4,4.1,N,03-Sep-15,fisherk,16-Sep-15,fisherk
48,1,Paraplanner,9,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-paraplanner,15,15.1,N,16-Sep-15,fisherk,16-Sep-15,fisherk
49,1,Refrigeration Air Conditioning and Heat Pump Engineering Technician,20,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-refrigeration-air-conditioning-heat-pump-engineering-technician,4,4.1,N,16-Sep-15,fisherk,16-Sep-15,fisherk
50,1,Chartered Surveyor,21,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-surveyor,5,5.2,N,16-Sep-15,fisherk,16-Sep-15,fisherk
51,1,Surveying Technician,21,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-surveying-technician,5,5.2,N,16-Sep-15,fisherk,16-Sep-15,fisherk
52,1,Systems Engineering Masters Level,22,7,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-systems-engineering,4,4.1,N,16-Sep-15,fisherk,16-Sep-15,fisherk
53,1,Utilities Engineering Technician,8,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-utilities-engineering-technician,4,4.1,N,06-Oct-15,fisherk,06-Oct-15,fisherk
54,1,Butcher,23,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-butchery,7,7.4,N,06-Oct-15,fisherk,06-Oct-15,fisherk
55,1,Chartered Manager Degree Apprenticeship,24,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-chartered-manager-degree-apprenticeship,15,15.3,N,07-Oct-15,fisherk,07-Oct-15,fisherk
56,1,"Aerospace Manufacturing Electrical, Mechanical and Systems Fitter",2,3,01-Aug-15,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-aerospace-manufacturing-electrical-mechanical-and-systems-fitter,4,4.1,N,22-Oct-15,fisherk,07-Apr-17,robinsonsar
57,1,Gas Network Craftsperson,8,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-gas-network-craftsperson,4,4.1,N,22-Oct-15,fisherk,22-Oct-15,fisherk
58,1,Gas Network Team Leader,8,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-gas-network-team-leader,4,4.1,N,22-Oct-15,fisherk,22-Oct-15,fisherk
59,1,Motor Vehicle Service and Maintenance Technician (light vehicle),35,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-motor-vehicle-service-and-maintenance-technician-light-vehicle,7,7.3,N,22-Oct-15,fisherk,16-May-16,fisherk
60,1,Insurance Practitioner,27,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-insurance-practitioner,15,15.1,N,04-Nov-15,fisherk,04-Nov-15,fisherk
61,1,Dental Nurse,6,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-dental-nurse,1,1.3,N,13-Nov-15,fisherk,13-Nov-15,fisherk
62,1,Mortgage Adviser,9,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-mortgage-adviser,15,15.1,N,20-Nov-15,fisherk,15-Jul-16,guinivas
63,1,Insurance Professional,9,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-insurance-professional,15,15.1,N,20-Nov-15,fisherk,20-Nov-15,fisherk
64,1,Housing/Property Management Assistant,36,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-housingproperty-management-assistant,1,1.4,N,04-Dec-15,fisherk,15-Jul-16,guinivas
65,1,Housing/Property Management,36,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-housing-management,1,1.4,N,04-Dec-15,fisherk,15-Jul-16,guinivas
66,1,Senior Housing/Property Management,36,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-senior-housingproperty-management,1,1.4,N,04-Dec-15,fisherk,15-Jul-16,guinivas
67,1,Non-destructive Testing Engineering Technician,37,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-non-destructive-testing-engineering-technician,4,4.1,N,04-Dec-15,fisherk,04-Dec-15,fisherk
68,1,Junior Energy Manager,38,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-junior-energy-manager,7,7.3,N,04-Dec-15,fisherk,04-Dec-15,fisherk
69,1,Land-Based Service Engineer,39,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineer,3,3.1,N,24-Dec-15,fisherk,15-Jul-16,guinivas
70,1,Land-Based Service Engineering Technician,39,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineering-technician,3,3.1,N,24-Dec-15,fisherk,15-Jul-16,guinivas
71,1,Live Event Rigger,40,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-live-event-rigger,9,9.1,N,24-Dec-15,fisherk,24-Dec-15,fisherk
72,1,Bespoke Tailor and Cutter,41,5,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-bespoke-tailor-and-cutter,7,7.1,N,05-Feb-16,fisherk,05-Feb-16,fisherk
73,1,Public Sector Commercial Professional,29,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-public-sector-commercial-professional,1,1.4,N,05-Feb-16,fisherk,05-Feb-16,fisherk
74,1,Gas Engineering,8,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-gas-engineering,4,4.1,N,05-Feb-16,fisherk,05-Feb-16,fisherk
75,1,Outside Broadcasting Engineer,32,7,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-outside-broadcasting-engineer,9,9.3,N,17-Feb-16,fisherk,17-Feb-16,fisherk
76,1,Boatbuilder,42,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-boatbuilder,4,4.2,N,25-Feb-16,fisherk,25-Feb-16,fisherk
77,1,Credit Controller/Collector,9,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-credit-controller-collector,15,15.1,N,11-Mar-16,fisherk,11-Mar-16,fisherk
78,1,Digital Marketer,7,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-digital-marketer,6,6.1,N,01-Apr-16,fisherk,01-Apr-16,fisherk
79,1,Cyber Intrusion Analyst,7,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-cyber-intrusion-analyst,6,6.1,N,01-Apr-16,fisherk,01-Apr-16,fisherk
80,1,Data Analyst,7,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-data-analyst,6,6.1,N,01-Apr-16,fisherk,01-Apr-16,fisherk
81,1,Unified Communications Trouble Shooter,7,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-unified-communications-troubleshooter,6,6.1,N,01-Apr-16,fisherk,01-Apr-16,fisherk
82,1,Infrastructure Technician,7,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-infrastructure-technician,6,6.1,N,01-Apr-16,fisherk,01-Apr-16,fisherk
83,1,Junior Management Consultant,43,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-junior-management-consultant,15,15.1,N,07-Apr-16,fisherk,07-Apr-16,fisherk
84,1,Junior 2D Artist (visual effects),33,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-junior-2d-artist-visual-effects,9,9.2,N,07-Apr-16,fisherk,07-Apr-16,fisherk
85,1,Assistant Technical Director (visual effects),33,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-assistant-technical-director-visual-effects,9,9.2,N,07-Apr-16,fisherk,07-Apr-16,fisherk
86,1,Aviation Ground Specialist,26,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-ground-specialist,4,4.3,N,27-Apr-16,fisherk,27-Apr-16,fisherk
87,1,Aviation Ground Operative,26,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-ground-operative,4,4.3,N,27-Apr-16,fisherk,27-Apr-16,fisherk
88,1,Rail Engineering Advanced Technician,30,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-advanced-technician,4,4.3,N,27-Apr-16,fisherk,27-Apr-16,fisherk
89,1,Rail Engineering Technician,30,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-technician,4,4.3,N,27-Apr-16,fisherk,27-Apr-16,fisherk
90,1,Rail Engineering Operative,30,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-operative,4,4.3,N,27-Apr-16,fisherk,27-Apr-16,fisherk
91,1,Software Tester,7,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-software-tester,6,6.1,N,27-Apr-16,fisherk,27-Apr-16,fisherk
92,1,Engineering Design and Draughtsperson,45,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-engineering-design-draughtsperson,4,4.1,N,04-May-16,fisherk,16-May-16,fisherk
93,1,Commis Chef,44,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-commis-chef,7,7.4,N,04-May-16,fisherk,04-May-16,fisherk
94,1,Welding,34,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-welder-level-2,4,4.2,N,04-May-16,fisherk,04-May-16,fisherk
95,1,Welding,34,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-welder-level-3,4,4.2,N,04-May-16,fisherk,04-May-16,fisherk
96,1,Hospitality Team Member,44,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-hospitality-team-member,7,7.4,N,04-May-16,fisherk,04-May-16,fisherk
97,1,Machinist (Advanced Manufacturing Engineering),47,3,01-Aug-15,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-machinist-advanced-manufacturing-engineering,4,4.1,N,16-May-16,fisherk,07-Apr-17,robinsonsar
98,1,Cyber Security Technologist,7,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-cyber-security-technologist-approved-for-delivery,6,6.1,N,16-May-16,fisherk,16-May-16,fisherk
99,1,Healthcare Science Assistant,46,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-assistant,1,1.3,N,16-May-16,fisherk,16-May-16,fisherk
100,1,Transport Planning Technician,48,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-transport-planning-technician,5,5.2,N,16-May-16,fisherk,16-May-16,fisherk
101,1,Retailer,31,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-retailer,7,7.1,N,20-May-16,robinsonsar,20-May-16,robinsonsar
102,1,Healthcare Assistant Practitioner,46,5,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-assistant-practitioner,1,1.3,N,20-May-16,robinsonsar,15-Jul-16,guinivas
103,1,Healthcare Support Worker,46,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-support-worker,1,1.3,N,20-May-16,robinsonsar,15-Jul-16,guinivas
104,1,Operations/Departmental Manager,24,5,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-operationsdepartmental-manager-approved-for-delivery,15,15.3,N,02-Jun-16,fisherk,02-Jun-16,fisherk
105,1,Team Leader/Supervisor,24,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-team-leadersupervisor-approved-for-delivery,15,15.3,N,02-Jun-16,fisherk,15-Jul-16,guinivas
106,1,Papermaker,28,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-papermaker,4,4.2,N,02-Jun-16,fisherk,15-Jul-16,guinivas
107,1,Embedded Electronic Systems Design and Development Engineer,19,6,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-embedded-electronic-systems-design-and-development-engineer,4,4.2,N,10-Jun-16,robinsonsar,10-Jun-16,robinsonsar
108,1,HM Forces Serviceperson (Public Services),49,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-hm-forces-public-services-operational-delivery-uniformed,1,1.4,N,10-Jun-16,robinsonsar,10-Jun-16,robinsonsar
109,1,Supply Chain Operator,51,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-supply-chain-operator,4,4.3,N,12-Jul-16,fisherk,12-Jul-16,fisherk
110,1,Large Goods Vehicle (LGV) Driver,51,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-large-goods-vehicle-lgv-driver,4,4.3,N,12-Jul-16,fisherk,12-Jul-16,fisherk
111,1,Supply Chain Warehouse Operative,51,2,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-supply-chain-warehouse-operative,7,7.2,N,12-Jul-16,fisherk,12-Jul-16,fisherk
112,1,Broadcast Production Assistant,32,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-broadcast-production-assistant,9,9.3,N,12-Jul-16,fisherk,12-Jul-16,fisherk
113,1,Aircraft Maintenance Fitter / Technician (fixed and rotary wing),50,3,01-Aug-15,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-aircraft-maintenance-fittertechnician-fixed-and-rotary-wing,4,4.1,N,30-Jun-16,robinsonsar,07-Apr-17,robinsonsar
114,1,Aircraft Maintenance Certifying Engineer,50,4,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-aircraft-maintenance-certifying-engineer,4,4.1,N,30-Jun-16,robinsonsar,30-Jun-16,robinsonsar
115,1,"Airworthiness Planning, Quality and Safety Technician",50,3,01-Aug-15,31-Mar-17,31-Mar-17,https://www.gov.uk/government/publications/apprenticeship-standard-airworthiness-planning-quality-and-safety-technician,4,4.1,N,30-Jun-16,robinsonsar,07-Apr-17,robinsonsar
116,1,Survival Equipment Fitter,2,3,01-Aug-15,,,https://www.gov.uk/government/publications/apprenticeship-standard-survival-equipment-fitter,4,4.1,N,07-Jul-16,guinivas,07-Jul-16,guinivas
