assessment-organisation-standard-code,standard-name,last-date-start,start-date,end-date
1,Network Engineer,,NA,NA
2,Software Developer,,NA,NA
3,Aerospace Manufacturing Fitter,31-Mar-17,NA,NA
4,Mechatronics Maintenance Technician,31-Mar-17,NA,NA
5,Installation Electrician/Maintenance Electrician,,NA,NA
6,Power Network Craftsperson,,NA,NA
7,Relationship Manager (Banking),,NA,NA
8,Financial Services Administrator,,NA,NA
9,Control /Technical Support Engineer,,NA,NA
10,Electrical /Electronic Technical Support Engineer,,NA,NA
11,Manufacturing Engineer,,NA,NA
12,Product Design and Development Engineer,,NA,NA
13,Product Design and Development Technician,31-Mar-17,NA,NA
14,Laboratory Technician,,NA,NA
15,Science Manufacturing Technician,,NA,NA
16,Food and Drink Maintenance Engineer,,NA,NA
17,Actuarial Technician,,NA,NA
18,Dental Technician,,NA,NA
19,Dental Laboratory Assistant,,NA,NA
20,Dental Practice Manager,,NA,NA
21,Golf Greenkeeper,,NA,NA
22,Junior Journalist,,NA,NA
23,Property Maintenance Operative,,NA,NA
24,Railway Engineering Design Technician,,NA,NA
25,Digital and Technology Solutions Professional,,NA,NA
26,Dual Fuel Smart Meter Installer,,NA,NA
27,Water Process Technician,,NA,NA
28,Financial Services Customer Adviser,,NA,NA
29,Investment Operations Administrator,,NA,NA
30,Investment Operations Specialist,,NA,NA
31,Senior Financial Services Customer Adviser,,NA,NA
32,Workplace Pensions (Administrator or Consultant),,NA,NA
33,Investment Operations Technician,,NA,NA
34,Able Seafarer (Deck),,NA,NA
35,Nuclear Welding Inspection Technician,,NA,NA
36,Public Service Operational Delivery Officer,,NA,NA
37,Aerospace Engineer,,NA,NA
38,Aerospace Software Development Engineer,,NA,NA
39,Conveyancing Technician,,NA,NA
40,Licensed Conveyancer,,NA,NA
41,Chartered Legal Executive,,NA,NA
42,Paralegal,,NA,NA
43,Solicitor,,NA,NA
44,Laboratory Scientist,,NA,NA
45,Science Industry Maintenance Technician,,NA,NA
46,Nuclear Health Physics Monitor,,NA,NA
47,Nuclear Scientist and Nuclear Engineer,,NA,NA
48,Paraplanner,,NA,NA
49,Refrigeration Air Conditioning and Heat Pump Engineering Technician,,NA,NA
50,Chartered Surveyor,,NA,NA
51,Surveying Technician,,NA,NA
52,Systems Engineering Masters Level,,NA,NA
53,Utilities Engineering Technician,,NA,NA
54,Butcher,,NA,NA
55,Chartered Manager Degree Apprenticeship,,NA,NA
56,"Aerospace Manufacturing Electrical, Mechanical and Systems Fitter",31-Mar-17,NA,NA
57,Gas Network Craftsperson,,NA,NA
58,Gas Network Team Leader,,NA,NA
59,Motor Vehicle Service and Maintenance Technician (light vehicle),,NA,NA
60,Insurance Practitioner,,NA,NA
61,Dental Nurse,,NA,NA
62,Mortgage Adviser,,NA,NA
63,Insurance Professional,,NA,NA
64,Housing/Property Management Assistant,,NA,NA
65,Housing/Property Management,,NA,NA
66,Senior Housing/Property Management,,NA,NA
67,Non-destructive Testing Engineering Technician,,NA,NA
68,Junior Energy Manager,,NA,NA
69,Land-Based Service Engineer,,NA,NA
70,Land-Based Service Engineering Technician,,NA,NA
71,Live Event Rigger,,NA,NA
72,Bespoke Tailor and Cutter,,NA,NA
73,Public Sector Commercial Professional,,NA,NA
74,Gas Engineering,,NA,NA
75,Outside Broadcasting Engineer,,NA,NA
76,Boatbuilder,,NA,NA
77,Credit Controller/Collector,,NA,NA
78,Digital Marketer,,NA,NA
79,Cyber Intrusion Analyst,,NA,NA
80,Data Analyst,,NA,NA
81,Unified Communications Trouble Shooter,,NA,NA
82,Infrastructure Technician,,NA,NA
83,Junior Management Consultant,,NA,NA
84,Junior 2D Artist (visual effects),,NA,NA
85,Assistant Technical Director (visual effects),,NA,NA
86,Aviation Ground Specialist,,NA,NA
87,Aviation Ground Operative,,NA,NA
88,Rail Engineering Advanced Technician,,NA,NA
89,Rail Engineering Technician,,NA,NA
90,Rail Engineering Operative,,NA,NA
91,Software Tester,,NA,NA
92,Engineering Design and Draughtsperson,,NA,NA
93,Commis Chef,,NA,NA
94,Welding,,NA,NA
95,Welding,,NA,NA
96,Hospitality Team Member,,NA,NA
97,Machinist (Advanced Manufacturing Engineering),31-Mar-17,NA,NA
98,Cyber Security Technologist,,NA,NA
99,Healthcare Science Assistant,,NA,NA
100,Transport Planning Technician,,NA,NA
101,Retailer,,NA,NA
102,Healthcare Assistant Practitioner,,NA,NA
103,Healthcare Support Worker,,NA,NA
104,Operations/Departmental Manager,,NA,NA
105,Team Leader/Supervisor,,NA,NA
106,Papermaker,,NA,NA
107,Embedded Electronic Systems Design and Development Engineer,,NA,NA
108,HM Forces Serviceperson (Public Services),,NA,NA
109,Supply Chain Operator,,NA,NA
110,Large Goods Vehicle (LGV) Driver,,NA,NA
111,Supply Chain Warehouse Operative,,NA,NA
112,Broadcast Production Assistant,,NA,NA
113,Aircraft Maintenance Fitter / Technician (fixed and rotary wing),31-Mar-17,NA,NA
114,Aircraft Maintenance Certifying Engineer,,NA,NA
115,"Airworthiness Planning, Quality and Safety Technician",31-Mar-17,NA,NA
116,Survival Equipment Fitter,,NA,NA
117,Professional Accounting Taxation Technician,,NA,NA
118,Lead Adult Care Worker,,NA,NA
119,Adult Care Worker,,NA,NA
120,Travel Consultant,,NA,NA
121,Airside Operator,,NA,NA
122,Customer Service Practitioner,,NA,NA
123,Aviation Operations Manager,,NA,NA
124,Highway Electrician / Service Operative,,NA,NA
125,Highway Electrical Maintenance and Installation Operative,,NA,NA
126,Fire Emergency and Security Systems Technician,,NA,NA
127,Electrical Power Protection and Plant Commissioning Engineer,,NA,NA
128,Associate Project Manager,,NA,NA
129,Food and Drink Advanced Process Operator,,NA,NA
130,Food and Drink Process Operator,,NA,NA
131,Food Technologist,,NA,NA
132,Non-destructive Testing (NDT) Operator,,NA,NA
133,Assistant Accountant,,NA,NA
134,Bus and Coach Engineering Technician,,NA,NA
135,Heavy Vehicle Service and Maintenance Technician,,NA,NA
136,Bus and Coach Engineering Manager,,NA,NA
137,Furniture Manufacturer,,NA,NA
138,Hospitality Supervisor,,NA,NA
139,Senior Chef Production Cooking,,NA,NA
140,Retail Team Leader,,NA,NA
141,Aviation Maintenance Mechanic (Military),,NA,NA
142,IT Technical Salesperson,,NA,NA
143,Compliance / Risk Officer,,NA,NA
144,Senior Compliance / Risk Specialist,,NA,NA
145,Sports Turf Operative,,NA,NA
146,Maintenance and Operations Engineering Technician,,NA,NA
147,Retail Manager,,NA,NA
148,Advanced Credit Controller / Debt Collection Specialist,,NA,NA
149,Advanced Dairy Technologist,,NA,NA
150,Healthcare Science Associate,,NA,NA
151,Senior Healthcare Support Worker,,NA,NA
152,Advanced Butcher,,NA,NA
153,Financial Adviser,,NA,NA
154,Software Development Technician,,NA,NA
155,Unified Communications Technician,,NA,NA
156,Associate Ambulance Practitioner,,NA,NA
157,Hair Professional,,NA,NA
158,Spectacle Maker,,NA,NA
159,Event Assistant,,NA,NA
160,Composites Technician,,NA,NA
161,Power Engineer,,NA,NA
162,Facilities Management Supervisor,,NA,NA
163,Nuclear Technician,,NA,NA
164,Building Services Engineering Installer,,NA,NA
165,IS Business Analyst,,NA,NA
166,Postgraduate Engineer,,NA,NA
167,Engineering Technician,,NA,NA
168,Healthcare Science Practitioner,,NA,NA
169,Chef De Partie,,NA,NA
170,Registered Nurse,,NA,NA
171,Construction Steel Fixer,,NA,NA
172,Fishmonger,,NA,NA
173,Building Services Engineering Craftsperson,,NA,NA
174,Junior Content Producer,,NA,NA
175,Mineral Processing Mobile and Static Plant Operator,,NA,NA
176,Accident Repair Technician,,NA,NA
177,Baker,,NA,NA
178,Building Services Design Technician,,NA,NA
179,Animal Technologist,,NA,NA
180,Arborist,,NA,NA
181,Horticulture and Landscape Operative,,NA,NA
182,Forest Operative,,NA,NA
183,Bespoke Saddler,,NA,NA
184,Food Industry Technical Professional,,NA,NA
185,Building Services Engineering Ductwork Craftsperson,,NA,NA
186,Project Controls Technician,,NA,NA
187,Metrology Technician,,NA,NA
188,Rail Infrastructure Operator,,NA,NA
189,"Passenger Transport Driver - bus, coach and rail",,NA,NA
190,HR Consultant / Partner,,NA,NA
191,HR Support,,NA,NA
192,Building Services Engineering Ductwork Installer,,NA,NA
193,Building Services Engineering Service and Maintenance Engineer,,NA,NA
194,Building Services Engineering Ventilation Hygiene Technician,,NA,NA
195,Digital Engineering Technician,,NA,NA
196,Business Administrator,,NA,NA
197,Organ Builder,,NA,NA
198,Building Services Design Engineer,,NA,NA
199,Civil Engineering Technician,,NA,NA
200,Civil Engineer,,NA,NA
201,Process Automation Engineer,,NA,NA
202,Engineering Construction Pipefitter,,NA,NA
203,Teacher,,NA,NA
204,Senior Leader Master's Degree,,NA,NA
204a,Accountancy Taxation Professional,,NA,NA
205,Senior Insurance Professional,,NA,NA
206,Passenger transport onboard and station team member,,NA,NA
207,Non-Destructive Testing Engineer,,NA,NA
208,Nursing Associate,,NA,NA
209,Supply Chain Practitioner,,NA,NA
210,Motor Finance Specialist,,NA,NA
211,Probate Technician,,NA,NA
212,"Electrical, Electronic Product Service and Installation Engineer",,NA,NA
213,Financial Services Professional,,NA,NA
214,Passenger Transport Operations Manager,,NA,NA
215,Community Activator Coach,,NA,NA
216,Electrical Power Networks Engineer,,NA,NA
217,Recruitment Consultant,,NA,NA
218,Recruitment Resourcer,,NA,NA
219,Lifting Technician,,NA,NA
220,High Speed Rail and Infrastructure Technician,,NA,NA
221,Laboratory Scientist,,NA,NA
222,Commercial Procurement and Supply,,NA,NA
223,Creative Venue Technician,,NA,NA
224,Leisure Duty Manager,,NA,NA
225,Plumbing and Domestic Heating Technician,,NA,NA
226,Marine Engineer,,NA,NA
227,Nuclear Operative,,NA,NA
230,Tunnelling Operative,,NA,NA
231,Policy Officer,,NA,NA
232,School Business Professional,,NA,NA
250,Technician Scientist ,,NA,NA
251,Science Manufacturing Process Operative,,NA,NA
253,Science Industry Process/Plant Engineer ,,NA,NA
254,Laboratory Scientist (Degree) ,,NA,NA